Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
125,Entry long,2026-02-10 04:55,Long,5082.332,30.83,156688.2956,-200.03,-0.13,26.76,0.02,-200.03,-0.13,1625.12,16.25
126,Exit short,2026-02-10 07:10,Short Exit,5006.348,6.92,34802.81828,158.89,0.46,158.89,0.46,-59.17,-0.17,1784.01,17.84
126,Entry short,2026-02-10 07:10,Short,5029.309,6.92,34802.81828,158.89,0.46,158.89,0.46,-59.17,-0.17,1784.01,17.84
127,Exit short,2026-02-10 10:00,Short Exit,5038.136,9.25,46402.884,-199.87,-0.43,69.5,0.15,-199.87,-0.43,1584.14,15.84
127,Entry short,2026-02-10 08:40,Short,5016.528,9.25,46402.884,-199.87,-0.43,69.5,0.15,-199.87,-0.43,1584.14,15.84
128,Exit short,2026-02-10 12:45,Short Exit,5031.116,20.96,105252.1701,-200.02,-0.19,82.75,0.08,-200.02,-0.19,1384.12,13.84
128,Entry short,2026-02-10 12:05,Short,5021.573,20.96,105252.1701,-200.02,-0.19,82.75,0.08,-200.02,-0.19,1384.12,13.84
129,Exit short,2026-02-10 13:25,Short Exit,5013.793,24.52,123138.165,199.96,0.16,199.96,0.16,0,0.00,1584.08,15.84
129,Entry short,2026-02-10 13:20,Short,5021.948,24.52,123138.165,199.96,0.16,199.96,0.16,0,0.00,1584.08,15.84
130,Exit short,2026-02-10 15:30,Short Exit,5030.751,20.31,101974.5399,-200.01,-0.20,27.28,0.03,-200.01,-0.20,1384.06,13.84
130,Entry short,2026-02-10 15:25,Short,5020.903,20.31,101974.5399,-200.01,-0.20,27.28,0.03,-200.01,-0.20,1384.06,13.84
131,Exit long,2026-02-10 16:45,Long Exit,5052.672,26.91,135767.4622,199.94,0.15,199.94,0.15,0,0.00,1584.01,15.84
131,Entry long,2026-02-10 16:40,Long,5045.242,26.91,135767.4622,199.94,0.15,199.94,0.15,0,0.00,1584.01,15.84
132,Exit long,2026-02-10 20:40,Long Exit,5039.059,19.6,98965.5352,-199.98,-0.20,175.09,0.18,-199.98,-0.20,1384.03,13.84
132,Entry long,2026-02-10 18:25,Long,5049.262,19.6,98965.5352,-199.98,-0.20,175.09,0.18,-199.98,-0.20,1384.03,13.84
133,Exit short,2026-02-10 21:30,Short Exit,5046.396,24.12,121519.0444,-200.03,-0.16,112.11,0.09,-200.03,-0.16,1184,11.84
133,Entry short,2026-02-10 21:25,Short,5038.103,24.12,121519.0444,-200.03,-0.16,112.11,0.09,-200.03,-0.16,1184,11.84
134,Exit long,2026-02-10 22:15,Long Exit,5067.497,20.31,102720.9121,199.95,0.19,199.95,0.19,-96.51,-0.09,1383.95,13.84
134,Entry long,2026-02-10 22:10,Long,5057.652,20.31,102720.9121,199.95,0.19,199.95,0.19,-96.51,-0.09,1383.95,13.84
135,Exit short,2026-02-11 01:15,Short Exit,5029.906,14.98,75147.96394,-200.03,-0.27,161.3,0.21,-200.03,-0.27,1183.92,11.84
135,Entry short,2026-02-11 00:00,Short,5016.553,14.98,75147.96394,-200.03,-0.27,161.3,0.21,-200.03,-0.27,1183.92,11.84
136,Exit short,2026-02-11 02:00,Short Exit,5021.568,42.77,214972.4131,199.95,0.09,199.95,0.09,-139.52,-0.06,1383.87,13.84
136,Entry short,2026-02-11 01:55,Short,5026.243,42.77,214972.4131,199.95,0.09,199.95,0.09,-139.52,-0.06,1383.87,13.84
137,Exit short,2026-02-11 02:10,Short Exit,5014.893,30.55,153404.9309,199.95,0.13,199.95,0.13,0,0.00,1583.82,15.84
137,Entry short,2026-02-11 02:05,Short,5021.438,30.55,153404.9309,199.95,0.13,199.95,0.13,0,0.00,1583.82,15.84
138,Exit short,2026-02-11 02:20,Short Exit,5006.403,27.11,135923.5216,199.94,0.15,199.94,0.15,-3.44,0.00,1783.76,17.84
138,Entry short,2026-02-11 02:15,Short,5013.778,27.11,135923.5216,199.94,0.15,199.94,0.15,-3.44,0.00,1783.76,17.84
139,Exit short,2026-02-11 03:15,Short Exit,5017.261,30.25,151572.102,-200.04,-0.13,108.23,0.07,-200.04,-0.13,1583.72,15.84
139,Entry short,2026-02-11 02:50,Short,5010.648,30.25,151572.102,-200.04,-0.13,108.23,0.07,-200.04,-0.13,1583.72,15.84
140,Exit long,2026-02-11 04:45,Long Exit,5043.772,27.77,139865.6044,199.94,0.14,199.94,0.14,0,0.00,1783.66,17.84
140,Entry long,2026-02-11 04:45,Long,5036.572,27.77,139865.6044,199.94,0.14,199.94,0.14,0,0.00,1783.66,17.84
141,Exit long,2026-02-11 08:10,Long Exit,5034.199,19.32,97460.74464,-200.02,-0.21,199.05,0.20,-200.02,-0.21,1583.64,15.84
141,Entry long,2026-02-11 07:20,Long,5044.552,19.32,97460.74464,-200.02,-0.21,199.05,0.20,-200.02,-0.21,1583.64,15.84
142,Exit long,2026-02-11 08:40,Long Exit,5039.914,27.9,140813.5878,-199.99,-0.14,70.95,0.05,-199.99,-0.14,1383.65,13.84
142,Entry long,2026-02-11 08:35,Long,5047.082,27.9,140813.5878,-199.99,-0.14,70.95,0.05,-199.99,-0.14,1383.65,13.84
143,Exit long,2026-02-11 09:50,Long Exit,5041.744,27.37,138192.5532,-200.02,-0.14,32.38,0.02,-200.02,-0.14,1183.63,11.84
143,Entry long,2026-02-11 09:50,Long,5049.052,27.37,138192.5532,-200.02,-0.14,32.38,0.02,-200.02,-0.14,1183.63,11.84
144,Exit long,2026-02-11 10:00,Long Exit,5047.654,37.16,187770.8549,-200.03,-0.11,142.99,0.08,-200.03,-0.11,983.6,9.84
