Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
348,Entry long,2026-03-03 05:05,Long,5338.782,27.28,145641.973,-200.04,-0.14,48.64,0.03,-200.04,-0.14,-3638.94,-36.39
349,Exit long,2026-03-03 07:05,Long Exit,5346.292,300.3,1605291.788,199.7,0.01,199.7,0.01,0,0.00,-3439.24,-34.39
349,Entry long,2026-03-03 07:05,Long,5345.627,300.3,1605291.788,199.7,0.01,199.7,0.01,0,0.00,-3439.24,-34.39
350,Exit long,2026-03-03 07:55,Long Exit,5345.507,26.03,138943.6368,199.91,0.14,199.91,0.14,0,0.00,-3239.33,-32.39
350,Entry long,2026-03-03 07:50,Long,5337.827,26.03,138943.6368,199.91,0.14,199.91,0.14,0,0.00,-3239.33,-32.39
351,Exit long,2026-03-03 08:15,Long Exit,5357.162,26.82,143479.1417,199.94,0.14,199.94,0.14,0,0.00,-3039.39,-30.39
351,Entry long,2026-03-03 08:15,Long,5349.707,26.82,143479.1417,199.94,0.14,199.94,0.14,0,0.00,-3039.39,-30.39
352,Exit long,2026-03-03 09:20,Long Exit,5379.782,12.24,65648.65248,199.88,0.30,199.88,0.30,-14.65,-0.02,-2839.51,-28.40
352,Entry long,2026-03-03 09:05,Long,5363.452,12.24,65648.65248,199.88,0.30,199.88,0.30,-14.65,-0.02,-2839.51,-28.40
353,Exit long,2026-03-03 09:30,Long Exit,5371.084,22.75,122392.2018,-200.04,-0.16,2.23,0.00,-200.04,-0.16,-3039.55,-30.40
353,Entry long,2026-03-03 09:25,Long,5379.877,22.75,122392.2018,-200.04,-0.16,2.23,0.00,-200.04,-0.16,-3039.55,-30.40
354,Exit long,2026-03-03 10:55,Long Exit,5367.902,24.79,132870.3592,199.93,0.15,199.93,0.15,-109.13,-0.08,-2839.62,-28.40
354,Entry long,2026-03-03 10:30,Long,5359.837,24.79,132870.3592,199.93,0.15,199.93,0.15,-109.13,-0.08,-2839.62,-28.40
355,Exit long,2026-03-03 11:15,Long Exit,5364.019,49.43,265343.5518,-200.09,-0.08,180.81,0.07,-200.09,-0.08,-3039.71,-30.40
355,Entry long,2026-03-03 11:00,Long,5368.067,49.43,265343.5518,-200.09,-0.08,180.81,0.07,-200.09,-0.08,-3039.71,-30.40
356,Exit long,2026-03-03 12:10,Long Exit,5361.834,33.89,181912.6069,-200.05,-0.11,11.62,0.01,-200.05,-0.11,-3239.76,-32.40
356,Entry long,2026-03-03 12:00,Long,5367.737,33.89,181912.6069,-200.05,-0.11,11.62,0.01,-200.05,-0.11,-3239.76,-32.40
357,Exit long,2026-03-03 12:25,Long Exit,5374.817,26.48,142125.2302,199.92,0.14,199.92,0.14,0,0.00,-3039.84,-30.40
357,Entry long,2026-03-03 12:20,Long,5367.267,26.48,142125.2302,199.92,0.14,199.92,0.14,0,0.00,-3039.84,-30.40
358,Exit long,2026-03-03 13:15,Long Exit,5359.079,29.64,159043.1123,-200.01,-0.13,43.07,0.03,-200.01,-0.13,-3239.85,-32.40
358,Entry long,2026-03-03 13:10,Long,5365.827,29.64,159043.1123,-200.01,-0.13,43.07,0.03,-200.01,-0.13,-3239.85,-32.40
359,Exit short,2026-03-03 14:10,Short Exit,5296.048,7.84,41720.81872,199.8,0.48,199.8,0.48,-14.79,-0.04,-3040.05,-30.40
359,Entry short,2026-03-03 13:50,Short,5321.533,7.84,41720.81872,199.8,0.48,199.8,0.48,-14.79,-0.04,-3040.05,-30.40
360,Exit short,2026-03-03 16:15,Short Exit,5327.496,26.5,140978.622,-200.02,-0.14,68.18,0.05,-200.02,-0.14,-3240.07,-32.40
360,Entry short,2026-03-03 16:15,Short,5319.948,26.5,140978.622,-200.02,-0.14,68.18,0.05,-200.02,-0.14,-3240.07,-32.40
361,Exit short,2026-03-03 16:40,Short Exit,5298.028,12.95,68809.34585,199.88,0.29,199.88,0.29,-0.09,0.00,-3040.19,-30.40
361,Entry short,2026-03-03 16:25,Short,5313.463,12.95,68809.34585,199.88,0.29,199.88,0.29,-0.09,0.00,-3040.19,-30.40
362,Exit short,2026-03-03 17:05,Short Exit,5288.838,17.64,93495.05172,199.95,0.21,199.95,0.21,-70.24,-0.08,-2840.24,-28.40
362,Entry short,2026-03-03 16:55,Short,5300.173,17.64,93495.05172,199.95,0.21,199.95,0.21,-70.24,-0.08,-2840.24,-28.40
363,Exit short,2026-03-03 18:35,Short Exit,5253.583,16.96,89300.72608,199.96,0.22,199.96,0.22,0,0.00,-2640.28,-26.40
363,Entry short,2026-03-03 18:35,Short,5265.373,16.96,89300.72608,199.96,0.22,199.96,0.22,0,0.00,-2640.28,-26.40
364,Exit short,2026-03-03 19:00,Short Exit,5261.006,14.22,74611.60056,-199.9,-0.27,127.81,0.17,-199.9,-0.27,-2840.18,-28.40
364,Entry short,2026-03-03 18:50,Short,5246.948,14.22,74611.60056,-199.9,-0.27,127.81,0.17,-199.9,-0.27,-2840.18,-28.40
365,Exit short,2026-03-03 22:20,Short Exit,5125.383,4.03,20855.26209,199.97,0.96,199.97,0.96,-45.77,-0.22,-2640.21,-26.40
365,Entry short,2026-03-03 21:05,Short,5175.003,4.03,20855.26209,199.97,0.96,199.97,0.96,-45.77,-0.22,-2640.21,-26.40
366,Exit short,2026-03-03 22:40,Short Exit,5082.938,6.31,32273.27113,199.93,0.62,199.93,0.62,-75.54,-0.23,-2440.28,-24.40
366,Entry short,2026-03-03 22:35,Short,5114.623,6.31,32273.27113,199.93,0.62,199.93,0.62,-75.54,-0.23,-2440.28,-24.40
367,Exit short,2026-03-03 23:15,Short Exit,4997.673,3.1,15692.6123,199.83,1.27,199.83,1.27,-25.02,-0.16,-2240.46,-22.40
367,Entry short,2026-03-03 22:45,Short,5062.133,3.1,15692.6123,199.83,1.27,199.83,1.27,-25.02,-0.16,-2240.46,-22.40
368,Exit short,2026-03-04 01:15,Short Exit,5107.451,7.81,39689.42813,-199.76,-0.50,5.22,0.01,-199.76,-0.50,-2440.22,-24.40
368,Entry short,2026-03-04 01:05,Short,5081.873,7.81,39689.42813,-199.76,-0.50,5.22,0.01,-199.76,-0.50,-2440.22,-24.40
369,Exit short,2026-03-04 01:30,Short Exit,5078.853,13.89,70745.21472,199.95,0.28,199.95,0.28,0,0.00,-2240.27,-22.40
369,Entry short,2026-03-04 01:25,Short,5093.248,13.89,70745.21472,199.95,0.28,199.95,0.28,0,0.00,-2240.27,-22.40
370,Exit short,2026-03-04 02:00,Short Exit,5085.981,14.05,71258.12965,-199.9,-0.28,87.85,0.12,-199.9,-0.28,-2440.18,-24.40
370,Entry short,2026-03-04 01:35,Short,5071.753,14.05,71258.12965,-199.9,-0.28,87.85,0.12,-199.9,-0.28,-2440.18,-24.40
371,Exit short,2026-03-04 07:00,Short Exit,5106.336,16.89,85963.22577,-282.79,-0.33,103.76,0.12,-282.79,-0.33,-2722.97,-27.23
371,Entry short,2026-03-04 05:30,Short,5089.593,16.89,85963.22577,-282.79,-0.33,103.76,0.12,-282.79,-0.33,-2722.97,-27.23
372,Exit long,2026-03-04 08:00,Long Exit,5116.864,21.83,111901.1694,-200.03,-0.18,89.02,0.08,-200.03,-0.18,-2922.99,-29.23
372,Entry long,2026-03-04 07:45,Long,5126.027,21.83,111901.1694,-200.03,-0.18,89.02,0.08,-200.03,-0.18,-2922.99,-29.23
373,Exit long,2026-03-04 09:00,Long Exit,5140.782,14.51,74392.87157,199.88,0.27,199.88,0.27,-171.54,-0.23,-2723.12,-27.23
373,Entry long,2026-03-04 08:20,Long,5127.007,14.51,74392.87157,199.88,0.27,199.88,0.27,-171.54,-0.23,-2723.12,-27.23
374,Exit long,2026-03-04 09:25,Long Exit,5152.704,19.83,102378.0662,-199.95,-0.20,37.14,0.04,-199.95,-0.20,-2923.06,-29.23
374,Entry long,2026-03-04 09:15,Long,5162.787,19.83,102378.0662,-199.95,-0.20,37.14,0.04,-199.95,-0.20,-2923.06,-29.23
375,Exit long,2026-03-04 10:45,Long Exit,5171.574,22.53,116715.5836,-200.02,-0.17,15.16,0.01,-200.02,-0.17,-3123.09,-31.23
375,Entry long,2026-03-04 10:45,Long,5180.452,22.53,116715.5836,-200.02,-0.17,15.16,0.01,-200.02,-0.17,-3123.09,-31.23
376,Exit long,2026-03-04 11:25,Long Exit,5160.469,32.25,166625.172,-200.05,-0.12,55.57,0.03,-200.05,-0.12,-3323.13,-33.23
376,Entry long,2026-03-04 11:25,Long,5166.672,32.25,166625.172,-200.05,-0.12,55.57,0.03,-200.05,-0.12,-3323.13,-33.23
377,Exit long,2026-03-04 11:50,Long Exit,5169.582,43.46,224470.1177,199.92,0.09,199.92,0.09,0,0.00,-3123.22,-31.23
377,Entry long,2026-03-04 11:45,Long,5164.982,43.46,224470.1177,199.92,0.09,199.92,0.09,0,0.00,-3123.22,-31.23
378,Exit long,2026-03-04 13:45,Long Exit,5155.314,18.56,95882.57472,-199.95,-0.21,34.76,0.04,-199.95,-0.21,-3323.16,-33.23
378,Entry long,2026-03-04 13:35,Long,5166.087,18.56,95882.57472,-199.95,-0.21,34.76,0.04,-199.95,-0.21,-3323.16,-33.23
379,Exit long,2026-03-04 15:30,Long Exit,5165.214,25.53,132067.8899,-199.98,-0.15,40.16,0.03,-199.98,-0.15,-3523.14,-35.23
379,Entry long,2026-03-04 15:25,Long,5173.047,25.53,132067.8899,-199.98,-0.15,40.16,0.03,-199.98,-0.15,-3523.14,-35.23
380,Exit long,2026-03-04 16:45,Long Exit,5177.157,30.67,158583.4368,199.97,0.13,199.97,0.13,0,0.00,-3323.17,-33.23
380,Entry long,2026-03-04 16:40,Long,5170.637,30.67,158583.4368,199.97,0.13,199.97,0.13,0,0.00,-3323.17,-33.23
381,Exit long,2026-03-04 16:50,Long Exit,5175.214,30.5,158044.046,-200.02,-0.13,17.17,0.01,-200.02,-0.13,-3523.19,-35.23
381,Entry long,2026-03-04 16:50,Long,5181.772,30.5,158044.046,-200.02,-0.13,17.17,0.01,-200.02,-0.13,-3523.19,-35.23
382,Exit long,2026-03-04 18:05,Long Exit,5188.782,15.08,78046.94716,199.89,0.26,199.89,0.26,-96.47,-0.12,-3323.31,-33.23
382,Entry long,2026-03-04 17:20,Long,5175.527,15.08,78046.94716,199.89,0.26,199.89,0.26,-96.47,-0.12,-3323.31,-33.23
383,Exit long,2026-03-04 18:30,Long Exit,5185.319,20.82,108158.3801,-200.04,-0.18,156.11,0.14,-200.04,-0.18,-3523.34,-35.23
383,Entry long,2026-03-04 18:10,Long,5194.927,20.82,108158.3801,-200.04,-0.18,156.11,0.14,-200.04,-0.18,-3523.34,-35.23
384,Exit long,2026-03-04 19:45,Long Exit,5190.459,28.26,146882.3956,-200.02,-0.14,91.93,0.06,-200.02,-0.14,-3723.37,-37.23
384,Entry long,2026-03-04 19:25,Long,5197.537,28.26,146882.3956,-200.02,-0.14,91.93,0.06,-200.02,-0.14,-3723.37,-37.23
385,Exit short,2026-03-04 22:30,Short Exit,5175.406,14.82,76499.55066,-199.97,-0.26,26.13,0.03,-199.97,-0.26,-3923.33,-39.23
385,Entry short,2026-03-04 22:25,Short,5161.913,14.82,76499.55066,-199.97,-0.26,26.13,0.03,-199.97,-0.26,-3923.33,-39.23
386,Exit short,2026-03-04 23:45,Short Exit,5137.463,13.52,69658.46056,199.96,0.29,199.96,0.29,0,0.00,-3723.37,-37.23
386,Entry short,2026-03-04 23:40,Short,5152.253,13.52,69658.46056,199.96,0.29,199.96,0.29,0,0.00,-3723.37,-37.23
387,Exit short,2026-03-05 00:20,Short Exit,5139.093,20.18,103906.7796,199.88,0.19,199.88,0.19,-142.81,-0.14,-3523.49,-35.23
387,Entry short,2026-03-05 00:10,Short,5148.998,20.18,103906.7796,199.88,0.19,199.88,0.19,-142.81,-0.14,-3523.49,-35.23
388,Exit short,2026-03-05 02:10,Short Exit,5120.503,17.24,88477.36952,199.9,0.23,199.9,0.23,0,0.00,-3323.59,-33.24
388,Entry short,2026-03-05 02:05,Short,5132.098,17.24,88477.36952,199.9,0.23,199.9,0.23,0,0.00,-3323.59,-33.24
389,Exit short,2026-03-05 02:20,Short Exit,5126.131,23.36,119546.3885,-200.03,-0.17,155.76,0.13,-200.03,-0.17,-3523.62,-35.24
389,Entry short,2026-03-05 02:20,Short,5117.568,23.36,119546.3885,-200.03,-0.17,155.76,0.13,-200.03,-0.17,-3523.62,-35.24
390,Exit short,2026-03-05 02:45,Short Exit,5129.981,14.96,76544.60528,-199.91,-0.26,119.35,0.16,-199.91,-0.26,-3723.54,-37.24
390,Entry short,2026-03-05 02:40,Short,5116.618,14.96,76544.60528,-199.91,-0.26,119.35,0.16,-199.91,-0.26,-3723.54,-37.24
391,Exit short,2026-03-05 03:45,Short Exit,5133.416,30.18,154726.4618,-200.03,-0.13,102.7,0.07,-200.03,-0.13,-3923.57,-39.24
391,Entry short,2026-03-05 03:20,Short,5126.788,30.18,154726.4618,-200.03,-0.13,102.7,0.07,-200.03,-0.13,-3923.57,-39.24
392,Exit short,2026-03-05 04:15,Short Exit,5124.283,36.65,188004.8977,199.93,0.11,199.93,0.11,-12.72,-0.01,-3723.64,-37.24
392,Entry short,2026-03-05 04:10,Short,5129.738,36.65,188004.8977,199.93,0.11,199.93,0.11,-12.72,-0.01,-3723.64,-37.24
393,Exit long,2026-03-05 07:45,Long Exit,5161.082,43.99,226836.0626,199.93,0.09,199.93,0.09,0,0.00,-3523.71,-35.24
393,Entry long,2026-03-05 07:45,Long,5156.537,43.99,226836.0626,199.93,0.09,199.93,0.09,0,0.00,-3523.71,-35.24
394,Exit long,2026-03-05 10:20,Long Exit,5184.807,30.97,160373.5614,199.91,0.12,199.91,0.12,-172.41,-0.11,-3323.8,-33.24
394,Entry long,2026-03-05 10:05,Long,5178.352,30.97,160373.5614,199.91,0.12,199.91,0.12,-172.41,-0.11,-3323.8,-33.24
395,Exit long,2026-03-05 10:35,Long Exit,5180.724,39.91,206962.7637,-200.07,-0.10,63.38,0.03,-200.07,-0.10,-3523.87,-35.24
395,Entry long,2026-03-05 10:30,Long,5185.737,39.91,206962.7637,-200.07,-0.10,63.38,0.03,-200.07,-0.10,-3523.87,-35.24
396,Exit long,2026-03-05 10:50,Long Exit,5188.967,27.41,142029.6295,199.96,0.14,199.96,0.14,0,0.00,-3323.91,-33.24
396,Entry long,2026-03-05 10:50,Long,5181.672,27.41,142029.6295,199.96,0.14,199.96,0.14,0,0.00,-3323.91,-33.24
397,Exit long,2026-03-05 11:55,Long Exit,5180.234,20.11,104374.4595,-199.95,-0.19,101.41,0.10,-199.95,-0.19,-3523.86,-35.24
397,Entry long,2026-03-05 10:55,Long,5190.177,20.11,104374.4595,-199.95,-0.19,101.41,0.10,-199.95,-0.19,-3523.86,-35.24
398,Exit long,2026-03-05 12:10,Long Exit,5182.249,61.51,318960.228,-200.09,-0.06,22.94,0.01,-200.09,-0.06,-3723.96,-37.24
398,Entry long,2026-03-05 12:10,Long,5185.502,61.51,318960.228,-200.09,-0.06,22.94,0.01,-200.09,-0.06,-3723.96,-37.24
399,Exit short,2026-03-05 16:05,Short Exit,5154.303,37.58,193898.6323,199.93,0.10,199.93,0.10,-147.39,-0.08,-3524.03,-35.24
399,Entry short,2026-03-05 15:55,Short,5159.623,37.58,193898.6323,199.93,0.10,199.93,0.10,-147.39,-0.08,-3524.03,-35.24
400,Exit short,2026-03-05 16:35,Short Exit,5157.621,19.66,101198.8277,-200,-0.20,194.79,0.19,-200,-0.20,-3724.03,-37.24
400,Entry short,2026-03-05 16:10,Short,5147.448,19.66,101198.8277,-200,-0.20,194.79,0.19,-200,-0.20,-3724.03,-37.24
401,Exit long,2026-03-05 21:00,Long Exit,5160.754,35.83,185109.8547,-200.04,-0.11,57.08,0.03,-200.04,-0.11,-3924.07,-39.24
401,Entry long,2026-03-05 20:35,Long,5166.337,35.83,185109.8547,-200.04,-0.11,57.08,0.03,-200.04,-0.11,-3924.07,-39.24
402,Exit short,2026-03-05 21:20,Short Exit,5093.778,6.02,30864.46776,199.92,0.65,199.92,0.65,0,0.00,-3724.15,-37.24
402,Entry short,2026-03-05 21:20,Short,5126.988,6.02,30864.46776,199.92,0.65,199.92,0.65,0,0.00,-3724.15,-37.24
403,Exit short,2026-03-05 22:15,Short Exit,5107.983,18.16,92960.91288,199.94,0.22,199.94,0.22,0,0.00,-3524.2,-35.24
403,Entry short,2026-03-05 22:10,Short,5118.993,18.16,92960.91288,199.94,0.22,199.94,0.22,0,0.00,-3524.2,-35.24
404,Exit short,2026-03-05 23:30,Short Exit,5089.246,18.56,94256.45888,-199.95,-0.21,120.7,0.13,-199.95,-0.21,-3724.15,-37.24
404,Entry short,2026-03-05 23:25,Short,5078.473,18.56,94256.45888,-199.95,-0.21,120.7,0.13,-199.95,-0.21,-3724.15,-37.24
405,Exit short,2026-03-05 23:50,Short Exit,5093.931,14.2,72133.8416,-199.98,-0.28,28.8,0.04,-199.98,-0.28,-3924.13,-39.24
405,Entry short,2026-03-05 23:40,Short,5079.848,14.2,72133.8416,-199.98,-0.28,28.8,0.04,-199.98,-0.28,-3924.13,-39.24
406,Exit short,2026-03-06 00:05,Short Exit,5082.928,18.32,93319.20376,199.96,0.21,199.96,0.21,0,0.00,-3724.17,-37.24
406,Entry short,2026-03-06 00:05,Short,5093.843,18.32,93319.20376,199.96,0.21,199.96,0.21,0,0.00,-3724.17,-37.24
407,Exit short,2026-03-06 00:30,Short Exit,5057.618,10.74,54518.74242,199.93,0.37,199.93,0.37,-99.37,-0.18,-3524.24,-35.24
407,Entry short,2026-03-06 00:10,Short,5076.233,10.74,54518.74242,199.93,0.37,199.93,0.37,-99.37,-0.18,-3524.24,-35.24
408,Exit short,2026-03-06 01:35,Short Exit,5063.423,17.23,87442.73244,199.95,0.23,199.95,0.23,0,0.00,-3324.29,-33.24
408,Entry short,2026-03-06 01:30,Short,5075.028,17.23,87442.73244,199.95,0.23,199.95,0.23,0,0.00,-3324.29,-33.24
409,Exit short,2026-03-06 02:05,Short Exit,5068.561,19.69,99599.95507,-200.01,-0.20,147.64,0.15,-200.01,-0.20,-3524.3,-35.24
409,Entry short,2026-03-06 01:55,Short,5058.403,19.69,99599.95507,-200.01,-0.20,147.64,0.15,-200.01,-0.20,-3524.3,-35.24
410,Exit short,2026-03-06 03:15,Short Exit,5068.248,42.63,216259.3469,199.93,0.09,199.93,0.09,0,0.00,-3324.36,-33.24
410,Entry short,2026-03-06 03:15,Short,5072.938,42.63,216259.3469,199.93,0.09,199.93,0.09,0,0.00,-3324.36,-33.24
411,Exit short,2026-03-06 03:40,Short Exit,5067.211,21.56,109049.0355,-200.03,-0.18,46.53,0.04,-200.03,-0.18,-3524.4,-35.24
411,Entry short,2026-03-06 03:35,Short,5057.933,21.56,109049.0355,-200.03,-0.18,46.53,0.04,-200.03,-0.18,-3524.4,-35.24
412,Exit long,2026-03-06 08:00,Long Exit,5083.009,14.46,73700.26302,-199.95,-0.27,82.25,0.11,-199.95,-0.27,-3724.35,-37.24
412,Entry long,2026-03-06 07:20,Long,5096.837,14.46,73700.26302,-199.95,-0.27,82.25,0.11,-199.95,-0.27,-3724.35,-37.24
413,Exit long,2026-03-06 09:45,Long Exit,5121.612,16.67,85177.39874,199.87,0.23,199.87,0.23,0,0.00,-3524.48,-35.24
413,Entry long,2026-03-06 09:40,Long,5109.622,16.67,85177.39874,199.87,0.23,199.87,0.23,0,0.00,-3524.48,-35.24
414,Exit long,2026-03-06 09:50,Long Exit,5125.622,50.3,257618.8441,199.94,0.08,199.94,0.08,0,0.00,-3324.53,-33.25
414,Entry long,2026-03-06 09:50,Long,5121.647,50.3,257618.8441,199.94,0.08,199.94,0.08,0,0.00,-3324.53,-33.25
415,Exit long,2026-03-06 13:35,Long Exit,5121.224,9.84,50592.77328,-199.93,-0.40,24.68,0.05,-199.93,-0.40,-3524.46,-35.24
415,Entry long,2026-03-06 09:55,Long,5141.542,9.84,50592.77328,-199.93,-0.40,24.68,0.05,-199.93,-0.40,-3524.46,-35.24
416,Exit short,2026-03-06 15:05,Short Exit,5106.158,33.83,172941.2604,199.94,0.12,199.94,0.12,0,0.00,-3324.53,-33.25
416,Entry short,2026-03-06 15:05,Short,5112.068,33.83,172941.2604,199.94,0.12,199.94,0.12,0,0.00,-3324.53,-33.25
417,Exit short,2026-03-06 16:30,Short Exit,5096.823,21.59,110240.332,199.92,0.18,199.92,0.18,0,0.00,-3124.6,-31.25
417,Entry short,2026-03-06 16:25,Short,5106.083,21.59,110240.332,199.92,0.18,199.92,0.18,0,0.00,-3124.6,-31.25
418,Exit short,2026-03-06 17:00,Short Exit,5103.303,46.39,236942.1671,199.94,0.08,199.94,0.08,0,0.00,-2924.66,-29.25
418,Entry short,2026-03-06 17:00,Short,5107.613,46.39,236942.1671,199.94,0.08,199.94,0.08,0,0.00,-2924.66,-29.25
419,Exit short,2026-03-06 17:15,Short Exit,5094.468,26.17,133522.1664,199.94,0.15,199.94,0.15,-1.36,0.00,-2724.73,-27.25
419,Entry short,2026-03-06 17:05,Short,5102.108,26.17,133522.1664,199.94,0.15,199.94,0.15,-1.36,0.00,-2724.73,-27.25
420,Exit short,2026-03-06 19:20,Short Exit,5091.551,25.76,130958.3789,-199.97,-0.15,85.34,0.07,-199.97,-0.15,-2924.7,-29.25
420,Entry short,2026-03-06 19:05,Short,5083.788,25.76,130958.3789,-199.97,-0.15,85.34,0.07,-199.97,-0.15,-2924.7,-29.25
421,Exit short,2026-03-06 19:55,Short Exit,5068.573,22.58,114648.3242,199.95,0.17,199.95,0.17,0,0.00,-2724.75,-27.25
421,Entry short,2026-03-06 19:55,Short,5077.428,22.58,114648.3242,199.95,0.17,199.95,0.17,0,0.00,-2724.75,-27.25
422,Exit short,2026-03-06 21:00,Short Exit,5080.373,24.71,125735.9207,199.9,0.16,199.9,0.16,-80.6,-0.06,-2524.85,-25.25
422,Entry short,2026-03-06 20:50,Short,5088.463,24.71,125735.9207,199.9,0.16,199.9,0.16,-80.6,-0.06,-2524.85,-25.25
423,Exit short,2026-03-06 21:20,Short Exit,5083.671,16.3,82663.8689,-199.97,-0.24,96.22,0.12,-199.97,-0.24,-2724.82,-27.25
423,Entry short,2026-03-06 21:05,Short,5071.403,16.3,82663.8689,-199.97,-0.24,96.22,0.12,-199.97,-0.24,-2724.82,-27.25
424,Exit long,2026-03-06 23:20,Long Exit,5161.437,6.89,35362.52538,199.78,0.56,199.78,0.56,0,0.00,-2525.04,-25.25
424,Entry long,2026-03-06 23:00,Long,5132.442,6.89,35362.52538,199.78,0.56,199.78,0.56,0,0.00,-2525.04,-25.25
425,Exit long,2026-03-06 23:45,Long Exit,5149.809,10.66,55096.81762,-199.85,-0.36,35.53,0.06,-199.85,-0.36,-2724.9,-27.25
425,Entry long,2026-03-06 23:25,Long,5168.557,10.66,55096.81762,-199.85,-0.36,35.53,0.06,-199.85,-0.36,-2724.9,-27.25
426,Exit long,2026-03-07 02:40,Long Exit,5159.617,11.85,60941.4927,199.97,0.33,199.97,0.33,-162.61,-0.27,-2524.93,-25.25
426,Entry long,2026-03-07 00:45,Long,5142.742,11.85,60941.4927,199.97,0.33,199.97,0.33,-162.61,-0.27,-2524.93,-25.25
427,Exit long,2026-03-07 04:20,Long Exit,5153.844,17.28,89258.40576,-199.98,-0.22,159.89,0.18,-199.98,-0.22,-2724.91,-27.25
427,Entry long,2026-03-07 02:45,Long,5165.417,17.28,89258.40576,-199.98,-0.22,159.89,0.18,-199.98,-0.22,-2724.91,-27.25
428,Exit long,2026-03-07 04:30,Long Exit,5152.664,31.07,160293.2991,-200.03,-0.12,48.25,0.03,-200.03,-0.12,-2924.94,-29.25
428,Entry long,2026-03-07 04:25,Long,5159.102,31.07,160293.2991,-200.03,-0.12,48.25,0.03,-200.03,-0.12,-2924.94,-29.25
429,Exit long,2026-03-07 04:50,Long Exit,5156.329,57.29,295606.2024,-200.11,-0.07,56.89,0.02,-200.11,-0.07,-3125.05,-31.25
429,Entry long,2026-03-07 04:50,Long,5159.822,57.29,295606.2024,-200.11,-0.07,56.89,0.02,-200.11,-0.07,-3125.05,-31.25
430,Exit long,2026-03-07 05:35,Long Exit,5172.052,18.99,98017.30278,199.96,0.20,199.96,0.20,0,0.00,-2925.09,-29.25
430,Entry long,2026-03-07 05:05,Long,5161.522,18.99,98017.30278,199.96,0.20,199.96,0.20,0,0.00,-2925.09,-29.25
431,Exit short,2026-03-09 07:00,Short Exit,5134.606,7.22,36871.88298,-199.97,-0.54,18.51,0.05,-199.97,-0.54,-3125.06,-31.25
431,Entry short,2026-03-09 06:50,Short,5106.909,7.22,36871.88298,-199.97,-0.54,18.51,0.05,-199.97,-0.54,-3125.06,-31.25
432,Exit short,2026-03-09 10:00,Short Exit,5062.928,28.16,142771.9885,199.94,0.14,199.94,0.14,0,0.00,-2925.12,-29.25
432,Entry short,2026-03-09 10:00,Short,5070.028,28.16,142771.9885,199.94,0.14,199.94,0.14,0,0.00,-2925.12,-29.25
433,Exit long,2026-03-09 13:45,Long Exit,5125.237,12,61302.924,199.92,0.33,199.92,0.33,-35.9,-0.06,-2725.2,-27.25
433,Entry long,2026-03-09 13:35,Long,5108.577,12,61302.924,199.92,0.33,199.92,0.33,-35.9,-0.06,-2725.2,-27.25
434,Exit long,2026-03-09 14:35,Long Exit,5122.574,18.17,93277.18494,-200.02,-0.21,8.96,0.01,-200.02,-0.21,-2925.22,-29.25
434,Entry long,2026-03-09 14:10,Long,5133.582,18.17,93277.18494,-200.02,-0.21,8.96,0.01,-200.02,-0.21,-2925.22,-29.25
435,Exit short,2026-03-09 16:45,Short Exit,5096.086,29.15,148350.8504,-200.06,-0.13,58.1,0.04,-200.06,-0.13,-3125.28,-31.25
435,Entry short,2026-03-09 16:45,Short,5089.223,29.15,148350.8504,-200.06,-0.13,58.1,0.04,-200.06,-0.13,-3125.28,-31.25
436,Exit short,2026-03-09 17:00,Short Exit,5102.771,26.8,136554.2544,-200.01,-0.15,73.65,0.05,-200.01,-0.15,-3325.28,-33.25
436,Entry short,2026-03-09 16:55,Short,5095.308,26.8,136554.2544,-200.01,-0.15,73.65,0.05,-200.01,-0.15,-3325.28,-33.25
437,Exit long,2026-03-09 17:40,Long Exit,5116.319,18.94,97103.05038,-199.97,-0.21,111.52,0.11,-199.97,-0.21,-3525.25,-35.25
437,Entry long,2026-03-09 17:30,Long,5126.877,18.94,97103.05038,-199.97,-0.21,111.52,0.11,-199.97,-0.21,-3525.25,-35.25
438,Exit short,2026-03-09 19:20,Short Exit,5085.058,32.09,163379.4319,199.92,0.12,199.92,0.12,-48.52,-0.03,-3325.33,-33.25
438,Entry short,2026-03-09 19:10,Short,5091.288,32.09,163379.4319,199.92,0.12,199.92,0.12,-48.52,-0.03,-3325.33,-33.25
439,Exit short,2026-03-09 22:40,Short Exit,5098.671,8.2,41609.2436,-199.86,-0.48,112.36,0.27,-199.86,-0.48,-3525.19,-35.25
439,Entry short,2026-03-09 21:45,Short,5074.298,8.2,41609.2436,-199.86,-0.48,112.36,0.27,-199.86,-0.48,-3525.19,-35.25
440,Exit short,2026-03-09 23:20,Short Exit,5095.026,19.16,97420.70608,-199.99,-0.21,95.86,0.10,-199.99,-0.21,-3725.18,-37.25
440,Entry short,2026-03-09 23:05,Short,5084.588,19.16,97420.70608,-199.99,-0.21,95.86,0.10,-199.99,-0.21,-3725.18,-37.25
441,Exit long,2026-03-10 00:25,Long Exit,5102.792,49.8,253919.0946,199.95,0.08,199.95,0.08,0,0.00,-3525.24,-35.25
441,Entry long,2026-03-10 00:25,Long,5098.777,49.8,253919.0946,199.95,0.08,199.95,0.08,0,0.00,-3525.24,-35.25
